Home Team,Away Team,Link,Season,Round,League
Sevilla,Granada,https://www.besoccer.com/match/sevilla/granada/202221087,2022,31,primera_division
Cádiz,Real Betis,https://www.besoccer.com/match/cadiz/betis/202221082,2022,31,primera_division
Mallorca,Atlético,https://www.besoccer.com/match/mallorca/atletico-madrid/202221081,2022,31,primera_division
Villarreal,Athletic,https://www.besoccer.com/match/villarreal/athletic-bilbao/202221092,2022,31,primera_division
Real Madrid,Getafe,https://www.besoccer.com/match/real-madrid/getafe/202221086,2022,31,primera_division
Osasuna,Alavés,https://www.besoccer.com/match/osasuna/alaves/202221085,2022,31,primera_division
Espanyol,Celta,https://www.besoccer.com/match/espanyol/celta/202221083,2022,31,primera_division
Elche,R. Sociedad,https://www.besoccer.com/match/elche/real-sociedad/202221096,2022,31,primera_division
Levante,Barcelona,https://www.besoccer.com/match/levante/barcelona/202221084,2022,31,primera_division
Rayo Vallecano,Valencia,https://www.besoccer.com/match/rayo-vallecano/valencia-cf/202221088,2022,31,primera_division
