Home Team,Away Team,Link,Season,Round,League
CD Lugo,FC Cartagena,https://www.besoccer.com/match/lugo/cartagena/202221457,2022,35,segunda_division
R. Sociedad B,Tenerife,https://www.besoccer.com/match/real-sociedad-b/tenerife/202221467,2022,35,segunda_division
Alcorcón,Real Sporting,https://www.besoccer.com/match/ad-alcorcon/sporting-gijon/202221437,2022,35,segunda_division
Málaga,Real Valladolid,https://www.besoccer.com/match/malaga/valladolid/202221460,2022,35,segunda_division
Las Palmas,SD Amorebieta,https://www.besoccer.com/match/ud-palmas/amorebieta/202221453,2022,35,segunda_division
Fuenlabrada,Huesca,https://www.besoccer.com/match/fuenlabrada/huesca/202221443,2022,35,segunda_division
Real Zaragoza,Girona,https://www.besoccer.com/match/real-zaragoza/girona-fc/202221471,2022,35,segunda_division
UD Ibiza,Eibar,https://www.besoccer.com/match/ibiza-eivissa/eibar/202221447,2022,35,segunda_division
Mirandés,Burgos,https://www.besoccer.com/match/mirandes/burgos-cf/202221462,2022,35,segunda_division
Real Oviedo,Leganés,https://www.besoccer.com/match/real-oviedo/leganes/202221464,2022,35,segunda_division
Almería,Ponferradina,https://www.besoccer.com/match/almeria/ponferradina-sd/202221439,2022,35,segunda_division
